﻿测点名称,时间,数据1,单位1,数据2,单位2,数据3,单位3
左幅六号索,	2026-01-13 20:33:10.000	,-26.133333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.560	,-1.633333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.580	,-21.233333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.600	,-76.766667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.620	,-66.15,mm/s^2
左幅六号索,	2026-01-13 20:33:11.640	,-43.283333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.660	,-20.416667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.680	,43.283333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.700	,84.933333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.720	,90.65,mm/s^2
左幅六号索,	2026-01-13 20:33:11.740	,61.25,mm/s^2
左幅六号索,	2026-01-13 20:33:11.760	,7.35,mm/s^2
左幅六号索,	2026-01-13 20:33:11.780	,-27.766667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.800	,-26.95,mm/s^2
左幅六号索,	2026-01-13 20:33:11.820	,-52.266667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.840	,-87.383333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.860	,-56.35,mm/s^2
左幅六号索,	2026-01-13 20:33:11.880	,32.666667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.900	,96.366667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.920	,32.666667,mm/s^2
左幅六号索,	2026-01-13 20:33:11.940	,-16.333333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.960	,-31.033333,mm/s^2
左幅六号索,	2026-01-13 20:33:11.980	,-8.983333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.000	,27.766667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.020	,6.533333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.040	,13.066667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.060	,17.966667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.080	,-14.7,mm/s^2
左幅六号索,	2026-01-13 20:33:12.100	,5.716667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.120	,-8.983333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.140	,-30.216667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.160	,-16.333333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.180	,2.45,mm/s^2
左幅六号索,	2026-01-13 20:33:12.200	,10.616667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.220	,-26.95,mm/s^2
左幅六号索,	2026-01-13 20:33:12.240	,-17.966667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.260	,34.3,mm/s^2
左幅六号索,	2026-01-13 20:33:12.280	,69.416667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.300	,40.833333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.320	,11.433333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.340	,6.533333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.360	,21.233333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.380	,29.4,mm/s^2
左幅六号索,	2026-01-13 20:33:12.400	,7.35,mm/s^2
左幅六号索,	2026-01-13 20:33:12.420	,-62.883333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.440	,-108.616667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.460	,-80.033333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.480	,-6.533333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.500	,63.7,mm/s^2
左幅六号索,	2026-01-13 20:33:12.520	,80.033333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.540	,18.783333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.560	,7.35,mm/s^2
左幅六号索,	2026-01-13 20:33:12.580	,1.633333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.600	,4.9,mm/s^2
左幅六号索,	2026-01-13 20:33:12.620	,34.3,mm/s^2
左幅六号索,	2026-01-13 20:33:12.640	,0.816667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.660	,-40.016667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.680	,-57.983333,mm/s^2
左幅六号索,	2026-01-13 20:33:12.700	,-71.866667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.720	,-61.25,mm/s^2
左幅六号索,	2026-01-13 20:33:12.740	,-15.516667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.760	,35.116667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.780	,84.116667,mm/s^2
左幅六号索,	2026-01-13 20:33:12.800	,98.0,mm/s^2
